Date,Open,High,Low,Close,Adj Close,Volume
2021-09-05,42022.855469,43661.292969,41686.878906,43543.507813,43543.507813,25512438561
2021-09-06,43556.628906,44384.734375,43032.125000,44329.070313,44329.070313,32749010156
2021-09-07,44351.761719,44487.542969,36544.402344,39521.417969,39521.417969,55055157929
2021-09-08,39535.464844,39952.781250,37696.312500,38997.878906,38997.878906,41465418833
2021-09-09,38729.964844,39943.246094,38623.812500,39233.226563,39233.226563,32705466036
2021-09-10,39237.656250,39785.890625,37539.691406,38002.757813,38002.757813,33151864661
2021-09-11,37990.843750,38908.546875,37934.316406,38258.652344,38258.652344,29200764051
2021-09-12,38263.027344,39252.554688,37910.781250,38997.027344,38997.027344,23604800758
2021-09-13,38991.898438,39505.148438,36921.585938,38073.335938,38073.335938,34692077878
2021-09-14,38070.777344,39998.472656,37895.511719,39900.292969,39900.292969,32749002832
2021-09-15,39904.957031,40996.847656,39622.339844,40762.152344,40762.152344,25793023914
2021-09-16,40747.394531,41129.875000,40008.632813,40615.281250,40615.281250,26999268519
2021-09-17,40604.781250,40904.464844,39936.246094,40312.578125,40312.578125,24500717915
2021-09-18,40317.699219,41610.265625,40158.859375,41172.417969,41172.417969,24369669132
2021-09-19,41164.308594,41215.058594,40012.695313,40292.125000,40292.125000,22991574653
2021-09-20,40293.136719,40359.640625,36324.093750,36534.496094,36534.496094,37443550043
2021-09-21,36678.125000,37162.187500,33926.777344,34712.968750,34712.968750,41543539579
2021-09-22,34699.554688,37449.113281,34668.089844,37283.484375,37283.484375,32633326863
2021-09-23,37271.320313,38274.554688,36877.667969,38240.878906,38240.878906,29168511933
2021-09-24,38240.203125,38415.476563,34920.031250,36550.960938,36550.960938,36550615442
2021-09-25,36551.933594,36685.914063,35631.027344,36447.292969,36447.292969,26966250911
2021-09-26,36451.589844,37477.656250,34853.335938,36858.828125,36858.828125,26155402187
2021-09-27,36880.707031,37792.996094,36074.257813,36112.015625,36112.015625,26488265626
2021-09-28,36082.230469,36578.738281,35026.082031,35113.835938,35113.835938,25855347638
2021-09-29,35139.882813,36501.917969,34946.441406,35828.773438,35828.773438,26379448455
2021-09-30,35817.484375,38067.214844,35731.652344,37835.902344,37835.902344,26906818025
2021-10-01,37858.234375,41776.980469,37424.382813,41501.777344,41501.777344,36959492526
2021-10-02,41519.480469,41644.195313,40939.890625,41152.062500,41152.062500,26405455522
2021-10-03,41124.929688,42376.156250,40674.054688,41527.535156,41527.535156,22950548222
2021-10-04,41535.253906,42535.843750,40473.238281,42279.281250,42279.281250,28738204927
2021-10-05,42332.707031,44701.359375,42237.531250,44425.191406,44425.191406,30936829914
2021-10-06,44400.917969,48092.617188,43739.535156,47910.851563,47910.851563,42435587147
2021-10-07,47891.097656,47891.097656,46308.523438,46546.964844,46546.964844,31842075157
2021-10-08,46543.644531,48419.515625,46490.472656,46648.671875,46648.671875,30081144601
2021-10-09,46615.769531,47879.667969,46447.527344,47508.265625,47508.265625,28081699148
2021-10-10,47494.953125,48723.902344,46899.835938,47357.207031,47357.207031,34176954639
2021-10-11,47324.820313,50008.027344,47119.632813,49755.960938,49755.960938,36904742451
2021-10-12,49792.347656,49838.777344,47242.480469,48601.886719,48601.886719,35630095368
2021-10-13,48599.457031,49756.468750,47064.277344,49497.367188,49497.367188,35944622965
2021-10-14,49472.996094,50443.347656,49136.925781,49455.808594,49455.808594,31591335859
2021-10-15,49476.839844,54100.472656,49035.863281,53099.589844,53099.589844,44639142500
2021-10-16,53113.019531,53686.265625,51903.152344,52494.601563,52494.601563,29527448010
2021-10-17,52490.699219,53143.308594,51034.914063,53079.347656,53079.347656,25035394378
2021-10-18,53075.195313,54052.417969,51725.234375,53408.671875,53408.671875,32768426725
2021-10-19,53423.382813,55387.925781,52881.781250,55238.773438,55238.773438,34788514253
2021-10-20,55258.195313,57457.261719,54619.558594,56634.062500,56634.062500,35004469846
2021-10-21,56642.125000,57214.132813,53432.027344,53515.742188,53515.742188,39492048235
2021-10-22,53539.585938,54746.941406,51720.335938,52123.003906,52123.003906,33007497760
